Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
734       7.340     -28.257175607754     13.395044330038     -41.652219937792     119.940654867777
736       7.360     -28.258194033379     13.416275177712     -41.674469211091     120.130758141096
738       7.380     -28.263378513132     13.400241088733     -41.663619601865     119.987187199116
740       7.400     -28.259081801873     13.362651944148     -41.621733746022     119.650609991433
742       7.420     -28.239311620238     13.324953311032     -41.564264931270     119.313052411767
744       7.440     -28.205220557241     13.311356571499     -41.516577128740     119.191305756547
746       7.460     -28.171834265585     13.350885114099     -41.522719379684     119.545248540806
748       7.480     -28.158746529331     13.418698837851     -41.577445367182     120.152459852351
750       7.500     -28.172201790443     13.467566156043     -41.639767946486     120.590023028788
752       7.520     -28.200101017170     13.460356292686     -41.660457309856     120.525465143704
754       7.540     -28.217796082433     13.390518028430     -41.608314110863     119.900125880669
756       7.560     -28.202699784640     13.295322754306     -41.498022538945     119.047737248163
758       7.580     -28.151832663990     13.240972523830     -41.392805187820     118.561079490645
760       7.600     -28.088148371687     13.272879299722     -41.361027671409     118.846776163308
