Step    Time(ps)    SystemEnergy(eV)    KineticEnergy(eV)    PotentialEnergy(eV)    Temperature(K)
676       6.760     -25.817759228033     13.329202267285     -39.146961495318     119.351098019003
678       6.780     -25.802136142663     13.220421678838     -39.022557821500     118.377065033829
680       6.800     -25.810535983782     13.285978822157     -39.096514805939     118.964070683622
682       6.820     -25.822184850020     13.307811970853     -39.129996820873     119.159567024499
684       6.840     -25.803896428019     12.966462991270     -38.770359419289     116.103091872881
686       6.860     -25.819222317228     12.850977025649     -38.670199342877     115.069018225692
688       6.880     -25.807619746269     12.743448441656     -38.551068187925     114.106195821875
690       6.900     -25.826036640198     12.880522485356     -38.706559125554     115.333571421508
692       6.920     -25.811592853494     12.543233734220     -38.354826587714     112.313451988234
694       6.940     -25.806079842349     12.450624965967     -38.256704808316     111.484223205026
696       6.960     -25.824557978936     12.793566228124     -38.618124207060     114.554955824555
698       6.980     -25.810369554814     12.914339315220     -38.724708870034     115.636370921048
700       7.000     -25.808835569180     13.005361032579     -38.814196601760     116.451389081369
702       7.020     -25.811857110739     13.182028415840     -38.993885526579     118.033287664151
704       7.040     -25.821041875420     13.244104918968     -39.065146794388     118.589127290633
706       7.060     -25.811740283790     12.908402576397     -38.720142860187     115.583212728760
708       7.080     -25.809755117209     12.710519258801     -38.520274376010     113.811344408276
710       7.100     -25.809839025853     12.711149422663     -38.520988448516     113.816986962670
712       7.120     -25.813500801725     12.980300762030     -38.793801563755     116.226996747402
714       7.140     -25.822564751624     13.102474943530     -38.925039695153     117.320957392541
716       7.160     -25.810239633222     12.664209286955     -38.474448920177     113.396679983636
718       7.180     -25.813755080074     12.432566640319     -38.246321720392     111.322527032120
720       7.200     -25.819461633726     12.500700956710     -38.320162590437     111.932608964335
722       7.220     -25.811500284357     12.574395258214     -38.385895542571     112.592475595950
724       7.240     -25.815611765544     12.771911432704     -38.587523198247     114.361056477921
726       7.260     -25.819365161759     12.973860974627     -38.793226136386     116.169334204495
728       7.280     -25.812545488631     12.882703815738     -38.695249304369     115.353103286284
730       7.300     -25.815170911696     12.795948424332     -38.611119336028     114.576286263347
732       7.320     -25.812611264564     12.797700005359     -38.610311269923     114.591970106587
734       7.340     -25.813265522968     12.987053875577     -38.800319398546     116.287464845995
736       7.360     -25.815889988645     13.284779791941     -39.100669780585     118.953334439247
738       7.380     -25.816139766151     13.185282372177     -39.001422138328     118.062423936074
740       7.400     -25.814116889512     12.915717285326     -38.729834174838     115.648709412273
742       7.420     -25.816989658937     12.814395923234     -38.631385582171     114.741467135055
744       7.440     -25.812203456956     12.738967104094     -38.551170561050     114.066069447620
746       7.460     -25.813989850404     12.849329954332     -38.663319804736     115.054270173538
748       7.480     -25.812405516911     13.099713406277     -38.912118923187     117.296230293592
750       7.500     -25.818536033211     13.236458599012     -39.054994632223     118.520661326632
752       7.520     -25.815150123244     12.908300745298     -38.723450868542     115.582300922243
754       7.540     -25.803748211707     12.747234080282     -38.550982291989     114.140092833684
756       7.560     -25.828580549668     13.027972867979     -38.856553417647     116.653857866003
758       7.580     -25.805585971549     12.718849700836     -38.524435672385     113.885936074301
760       7.600     -25.811347859307     12.656594301755     -38.467942161062     113.328494594386
